subj_id,seed,date,computer,block,block_type,trial,proposition_id,question_slug,cue,mask_type,response_type,pic,correct_response,response,rt,is_correct
MDT115,115,2015_Nov_12_1433,LL-Jerry,0,practice,0,toad:visual:yes:4,does-it-have-a-long-tongue,toad,nomask,prompt,,yes,yes,844.236672376,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,0,practice,1,grasshopper:visual:yes:4,does-it-have-antennae,grasshopper,mask,prompt,,yes,yes,443.443816723,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,0,practice,2,strawberry:nonvisual:yes:3,is-it-used-for-making-jam,strawberry,mask,prompt,,yes,yes,397.271897957,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,0,practice,3,deer:nonvisual:yes:5,is-it-timid,deer,nomask,prompt,,yes,yes,291.146711905,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,0,practice,4,pig:visual:yes:5,is-it-muddy,pig,nomask,prompt,,yes,yes,31.4363907019,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,0,practice,5,chair:visual:yes:3,does-it-have-armrests,chair,mask,pic,chair,yes,yes,187.324872364,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,0,practice,6,train:nonvisual:yes:2,is-it-used-for-transportation,train,nomask,pic,train,yes,yes,292.882223963,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,0,practice,7,tiger:visual:yes:4,does-it-have-whiskers,tiger,mask,pic,tiger,yes,yes,464.414000613,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,9,camel:nonvisual:yes:5,does-it-spit,camel,mask,pic,camel,yes,yes,707.061120629,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,10,alligator:visual:no:3,is-it-round,alligator,nomask,prompt,,no,no,409.292127457,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,11,mouse:nonvisual:yes:4,is-it-used-in-experiments,mouse,nomask,prompt,,yes,yes,417.496278991,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,12,lion:nonvisual:yes:4,does-it-live-in-jungles,lion,mask,pic,lion,yes,yes,385.799337419,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,13,zebra:visual:yes:4,does-it-have-a-mane,zebra,nomask,prompt,,yes,yes,712.563417255,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,14,tiger:visual:no:5,does-it-have-warts,tiger,nomask,prompt,,no,no,520.427636315,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,15,bike:visual:yes:1,does-it-have-handle-bars,bike,nomask,prompt,,yes,yes,364.009730649,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,16,chair:visual:yes:2,is-it-made-of-wood,chair,mask,pic,chair,yes,yes,573.553126451,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,17,banana:nonvisual:yes:4,is-it-healthy,banana,nomask,prompt,,yes,yes,497.790118912,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,18,bike:visual:yes:2,does-it-have-a-seat,bike,nomask,prompt,,yes,yes,355.358097404,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,19,table:visual:yes:4,is-it-flat,table,nomask,pic,table,yes,yes,776.914680791,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,20,pig:nonvisual:yes:1,is-it-an-animal,pig,mask,prompt,,yes,yes,221.793447818,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,21,strawberry:nonvisual:yes:4,does-it-taste-good,strawberry,mask,pic,strawberry,yes,yes,438.398604419,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,22,table:nonvisual:no:3,is-it-healthy,table,nomask,prompt,,no,no,375.274874772,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,23,banana:visual:yes:1,is-it-yellow,banana,nomask,pic,banana,yes,yes,465.861114222,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,24,penguin:nonvisual:yes:3,does-it-live-in-the-arctic,penguin,nomask,prompt,,yes,yes,296.490245346,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,25,donkey:nonvisual:yes:2,is-it-like-a-horse,donkey,nomask,prompt,,yes,yes,418.282412822,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,26,camel:nonvisual:yes:6,does-it-eat,camel,mask,prompt,,yes,yes,441.842421133,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,27,pineapple:visual:yes:3,does-it-have-skin,pineapple,mask,prompt,,yes,timeout,1500.0,0
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,28,alligator:visual:no:5,is-it-made-of-metal,alligator,nomask,pic,grasshopper,no,no,530.152521482,1
MDT115,115,2015_Nov_12_1433,LL-Jerry,1,test,29,banana:nonvisual:yes:1,is-it-a-fruit,banana,mask,pic,banana,yes,yes,881.712465794,1
