subj_id,seed,date,computer,block,block_type,trial,proposition_id,question_slug,cue,mask_type,response_type,pic,correct_response,response,rt,is_correct
MDT112,112,2015_Nov_12_1416,LL-Kramer,0,practice,0,deer:nonvisual:yes:2,is-it-fast,deer,mask,prompt,,yes,no,901.135988999,0
MDT112,112,2015_Nov_12_1416,LL-Kramer,0,practice,1,dog:visual:yes:2,does-it-have-legs,dog,nomask,prompt,,yes,yes,193.331626244,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,0,practice,2,donkey:visual:yes:2,does-it-have-four-legs,donkey,mask,prompt,,yes,yes,296.168557834,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,0,practice,3,chair:nonvisual:yes:4,is-it-used-for-relaxing,chair,mask,pic,chair,yes,yes,360.27463479,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,0,practice,4,tiger:nonvisual:yes:4,does-it-live-in-zoos,tiger,nomask,prompt,,yes,yes,256.117984187,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,0,practice,5,donkey:nonvisual:yes:5,does-it-make-noises,donkey,nomask,prompt,,yes,yes,212.835491169,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,0,practice,6,pineapple:nonvisual:yes:5,is-it-prickly,pineapple,mask,pic,pineapple,yes,yes,294.692956377,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,0,practice,7,giraffe:visual:no:2,does-it-have-warts,giraffe,nomask,pic,rabbit,no,no,174.575804733,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,1,test,9,pineapple:nonvisual:no:5,is-it-a-pet,pineapple,nomask,prompt,,no,no,218.355392572,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,1,test,10,giraffe:nonvisual:yes:1,does-it-eat-leaves,giraffe,nomask,prompt,,yes,yes,111.843221355,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,1,test,11,tiger:visual:no:5,does-it-have-warts,tiger,mask,pic,chair,no,no,151.716786902,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,1,test,12,rabbit:nonvisual:yes:2,is-it-a-pet,rabbit,nomask,prompt,,yes,yes,265.853112098,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,1,test,13,donkey:visual:no:3,does-it-have-stripes,donkey,mask,prompt,,no,no,35.0597766228,1
MDT112,112,2015_Nov_12_1416,LL-Kramer,1,test,14,banana:visual:yes:2,is-it-long,banana,mask,pic,banana,yes,yes,185.886401217,1
