subj_id,seed,date,computer,block,block_type,trial,proposition_id,question_slug,cue,mask_type,response_type,pic,correct_response,response,rt,is_correct
MDT113,113,2015_Nov_12_1416,LL-George,0,practice,0,grasshopper:nonvisual:no:2,is-it-hunted-by-people,grasshopper,mask,prompt,,no,no,313.915144914,1
MDT113,113,2015_Nov_12_1416,LL-George,0,practice,1,elephant:visual:no:1,is-it-made-of-wood,elephant,mask,pic,dog,no,no,358.386121035,1
MDT113,113,2015_Nov_12_1416,LL-George,0,practice,2,jacket:visual:no:4,does-it-have-hair,jacket,mask,prompt,,no,no,489.945425157,1
MDT113,113,2015_Nov_12_1416,LL-George,0,practice,3,carrot:visual:yes:3,is-it-long,carrot,mask,prompt,,yes,yes,1285.7180353,1
MDT113,113,2015_Nov_12_1416,LL-George,0,practice,4,toad:visual:yes:4,does-it-have-a-long-tongue,toad,nomask,prompt,,yes,yes,128.611942448,1
MDT113,113,2015_Nov_12_1416,LL-George,0,practice,5,donkey:visual:yes:3,does-it-have-a-tail,donkey,mask,prompt,,yes,yes,449.088872178,1
MDT113,113,2015_Nov_12_1416,LL-George,0,practice,6,rabbit:nonvisual:no:4,is-it-used-for-making-jam,rabbit,mask,prompt,,no,no,427.186914836,1
MDT113,113,2015_Nov_12_1416,LL-George,0,practice,7,carrot:visual:yes:3,is-it-long,carrot,mask,prompt,,yes,yes,89.1087175696,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,9,bike:visual:yes:2,does-it-have-a-seat,bike,nomask,pic,bike,yes,yes,690.189971676,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,10,banana:nonvisual:yes:1,is-it-a-fruit,banana,nomask,prompt,,yes,yes,411.424547478,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,11,mouse:visual:yes:2,is-it-grey,mouse,nomask,pic,mouse,yes,yes,233.875774211,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,12,elephant:visual:yes:4,does-it-have-a-tail,elephant,mask,prompt,,yes,yes,813.76022278,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,13,rabbit:nonvisual:yes:3,is-it-edible,rabbit,nomask,prompt,,yes,yes,450.584959108,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,14,mouse:nonvisual:no:4,does-it-live-on-water,mouse,nomask,prompt,,no,no,405.846070134,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,15,banana:visual:yes:4,does-it-have-a-skin,banana,nomask,prompt,,yes,yes,465.35921772,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,16,donkey:visual:no:1,is-it-round,donkey,mask,prompt,,no,no,641.211529539,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,17,pineapple:visual:yes:2,does-it-have-an-inside,pineapple,mask,pic,pineapple,yes,yes,724.662068082,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,18,tiger:visual:yes:4,does-it-have-whiskers,tiger,mask,prompt,,yes,yes,998.30962022,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,19,swan:visual:no:2,does-it-have-a-tail,swan,nomask,prompt,,no,no,1459.5128275,1
MDT113,113,2015_Nov_12_1416,LL-George,1,test,20,camel:nonvisual:yes:4,is-it-a-mammal,camel,nomask,prompt,,yes,yes,623.418529838,1
