subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question_slug,cue,mask_type,response_type,pic,correct_response,response,rt,is_correct
MDT127,127,2015_Nov_13_1214,LL-ELAINE,0,practice,0,chicken:visual:yes:1,visual,does-it-have-feathers,chicken,nomask,pic,chicken,yes,yes,453.31596327,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,0,practice,1,banana:visual:yes:1,visual,is-it-yellow,banana,nomask,prompt,,yes,yes,123.889530776,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,0,practice,2,bottle:visual:no:5,visual,does-it-have-teeth,bottle,mask,prompt,,no,yes,1187.79628235,0
MDT127,127,2015_Nov_13_1214,LL-ELAINE,0,practice,3,toad:visual:yes:3,visual,is-it-small,toad,nomask,pic,toad,yes,yes,554.97370474,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,0,practice,4,deer:visual:no:3,visual,does-it-have-a-lid,deer,nomask,prompt,,no,no,914.052232169,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,0,practice,5,deer:nonvisual:no:4,nonvisual,does-it-eat-people,deer,nomask,prompt,,no,no,228.107345058,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,0,practice,6,bottle:nonvisual:yes:5,nonvisual,is-it-used-for-holding-beer,bottle,mask,prompt,,yes,no,41.3481511641,0
MDT127,127,2015_Nov_13_1214,LL-ELAINE,0,practice,7,jacket:visual:no:4,visual,does-it-have-hair,jacket,nomask,prompt,,no,no,394.605538342,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,9,chair:nonvisual:yes:5,nonvisual,is-it-found-at-tables,chair,mask,prompt,,yes,yes,719.080832088,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,10,bike:nonvisual:no:3,nonvisual,is-it-a-mammal,bike,mask,prompt,,no,no,295.655110385,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,11,donkey:nonvisual:yes:2,nonvisual,is-it-like-a-horse,donkey,nomask,prompt,,yes,yes,305.305797141,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,12,apple:visual:yes:4,visual,is-it-round,apple,mask,pic,apple,yes,yes,432.50120827,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,13,swan:nonvisual:yes:1,nonvisual,is-it-graceful,swan,nomask,prompt,,yes,yes,408.419944113,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,14,toad:visual:no:4,visual,does-it-have-whiskers,toad,mask,prompt,,no,no,87.3584006913,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,15,elephant:nonvisual:yes:4,nonvisual,is-it-used-in-circuses,elephant,mask,pic,elephant,yes,yes,111.063239863,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,16,camel:nonvisual:yes:2,nonvisual,does-it-drink-water,camel,mask,prompt,,yes,yes,421.604094561,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,17,rabbit:visual:yes:4,visual,does-it-have-a-tail,rabbit,nomask,prompt,,yes,yes,201.537067769,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,18,lion:visual:no:4,visual,is-it-yellow-inside,lion,nomask,prompt,,no,no,221.86432709,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,19,dog:nonvisual:yes:4,nonvisual,is-it-used-for-protection,dog,mask,pic,dog,yes,yes,578.192969086,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,20,penguin:nonvisual:yes:4,nonvisual,does-it-lay-eggs,penguin,mask,prompt,,yes,yes,766.103523085,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,21,camel:visual:yes:2,visual,is-it-brown,camel,nomask,prompt,,yes,yes,443.095197668,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,22,grasshopper:nonvisual:yes:2,nonvisual,does-it-live-in-grass,grasshopper,mask,pic,grasshopper,yes,yes,582.70622557,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,23,toad:visual:yes:1,visual,is-it-green,toad,mask,prompt,,yes,yes,1234.94892986,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,24,bottle:visual:yes:2,visual,is-it-made-of-plastic,bottle,nomask,prompt,,yes,yes,96.9725970645,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,25,table:nonvisual:yes:4,nonvisual,is-it-furniture,table,nomask,prompt,,yes,yes,273.839116795,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,26,lion:nonvisual:yes:4,nonvisual,does-it-live-in-jungles,lion,mask,prompt,,yes,no,272.159609245,0
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,27,zebra:visual:yes:2,visual,does-it-have-four-legs,zebra,nomask,prompt,,yes,yes,644.127805252,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,28,banana:visual:yes:3,visual,does-it-have-a-peel,banana,nomask,prompt,,yes,yes,285.078725778,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,29,jacket:nonvisual:yes:2,nonvisual,is-it-worn-in-cold-temperatures,jacket,mask,prompt,,yes,yes,355.479445308,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,30,table:visual:yes:4,visual,is-it-flat,table,nomask,prompt,,yes,yes,881.997548044,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,31,grasshopper:visual:yes:2,visual,does-it-have-legs,grasshopper,mask,prompt,,yes,yes,419.036339736,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,32,bike:nonvisual:yes:2,nonvisual,is-it-used-for-racing,bike,nomask,pic,bike,yes,yes,546.172854491,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,33,deer:visual:no:1,visual,is-it-yellow,deer,nomask,pic,jacket,no,no,974.157285411,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,34,pig:nonvisual:yes:1,nonvisual,is-it-an-animal,pig,mask,pic,pig,yes,yes,283.148908522,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,35,zebra:nonvisual:yes:2,nonvisual,does-it-run-fast,zebra,nomask,prompt,,yes,timeout,1500.0,0
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,36,giraffe:nonvisual:no:1,nonvisual,is-it-eaten-by-frying,giraffe,mask,pic,chicken,no,no,273.145163665,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,37,alligator:visual:yes:3,visual,does-it-have-scales,alligator,mask,prompt,,yes,yes,323.661627481,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,38,raccoon:nonvisual:no:1,nonvisual,does-it-hop,raccoon,nomask,pic,chicken,no,no,610.502763884,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,39,elephant:visual:yes:4,visual,does-it-have-a-tail,elephant,nomask,prompt,,yes,yes,302.622169955,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,40,dog:nonvisual:no:3,nonvisual,is-it-eaten-as-bacon,dog,nomask,prompt,,no,no,231.878314866,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,41,elephant:visual:yes:2,visual,does-it-have-ears,elephant,nomask,prompt,,yes,yes,223.844078137,1
MDT127,127,2015_Nov_13_1214,LL-ELAINE,1,test,42,mouse:visual:yes:5,visual,does-it-have-a-white-tail,mouse,mask,pic,mouse,yes,yes,782.831700286,1
