subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question_slug,cue,mask_type,response_type,pic,correct_response,response,rt,is_correct
MDT125,125,2015_Nov_13_1117,LL-Jerry,0,practice,0,alligator:nonvisual:no:2,nonvisual,does-it-live-in-the-desert,alligator,nomask,pic,toad,no,yes,52.8666905666,0
MDT125,125,2015_Nov_13_1117,LL-Jerry,0,practice,1,tiger:nonvisual:no:2,nonvisual,does-it-taste-sweet,tiger,nomask,prompt,,no,no,1038.57965021,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,0,practice,2,jacket:nonvisual:yes:2,nonvisual,is-it-worn-in-cold-temperatures,jacket,nomask,prompt,,yes,yes,440.228413398,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,0,practice,3,tiger:nonvisual:no:2,nonvisual,does-it-taste-sweet,tiger,nomask,prompt,,no,no,354.706225033,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,0,practice,4,elephant:nonvisual:yes:3,nonvisual,does-it-live-in-zoos,elephant,nomask,prompt,,yes,yes,348.571456008,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,0,practice,5,jacket:nonvisual:yes:1,nonvisual,is-it-clothing,jacket,nomask,pic,jacket,yes,yes,170.712447503,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,0,practice,6,dog:nonvisual:yes:4,nonvisual,is-it-used-for-protection,dog,mask,prompt,,yes,yes,561.890556182,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,0,practice,7,table:visual:yes:1,visual,is-it-made-of-wood,table,mask,prompt,,yes,yes,116.935112157,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,9,giraffe:visual:yes:3,visual,does-it-have-long-legs,giraffe,nomask,prompt,,yes,yes,725.60944382,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,10,chair:nonvisual:yes:4,nonvisual,is-it-used-for-relaxing,chair,nomask,pic,chair,yes,yes,189.245109086,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,11,mouse:visual:no:3,visual,does-it-have-stripes,mouse,nomask,prompt,,no,no,122.88519154,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,12,alligator:nonvisual:yes:4,nonvisual,does-it-live-in-water,alligator,nomask,prompt,,yes,yes,121.27835962,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,13,pineapple:nonvisual:yes:5,nonvisual,is-it-prickly,pineapple,mask,prompt,,yes,yes,336.039767488,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,14,grasshopper:visual:yes:1,visual,is-it-green,grasshopper,mask,pic,grasshopper,yes,yes,30.132899723,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,15,jacket:visual:yes:2,visual,does-it-have-pockets,jacket,nomask,prompt,,yes,yes,33.5475775901,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,16,penguin:nonvisual:yes:1,nonvisual,is-it-a-bird,penguin,mask,prompt,,yes,yes,490.386535901,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,17,swan:visual:yes:4,visual,does-it-have-wings,swan,nomask,prompt,,yes,yes,87.4817550975,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,18,strawberry:visual:no:4,visual,does-it-have-ears,strawberry,mask,prompt,,no,no,325.612004508,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,19,raccoon:visual:yes:2,visual,does-it-have-a-tail,raccoon,mask,pic,raccoon,yes,yes,518.530420977,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,20,pig:visual:yes:3,visual,does-it-have-a-snout,pig,mask,pic,pig,yes,yes,377.575412269,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,21,table:nonvisual:no:2,nonvisual,is-it-a-mammal,table,mask,pic,zebra,no,no,465.017476701,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,22,bike:visual:yes:4,visual,is-it-made-of-metal,bike,mask,prompt,,yes,yes,110.294607191,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,23,pineapple:nonvisual:yes:4,nonvisual,does-it-grow-in-hawaii,pineapple,nomask,prompt,,yes,yes,451.272021921,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,24,donkey:nonvisual:yes:1,nonvisual,is-it-an-animal,donkey,mask,prompt,,yes,yes,53.7722139707,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,25,raccoon:nonvisual:yes:3,nonvisual,is-it-nocturnal,raccoon,nomask,prompt,,yes,yes,153.948261293,1
MDT125,125,2015_Nov_13_1117,LL-Jerry,1,test,26,dog:nonvisual:yes:5,nonvisual,does-it-chase-cats,dog,nomask,prompt,,yes,yes,18.1539997939,1
